locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKEGNCBE_00001	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
GKEGNCBE_00002	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
GKEGNCBE_00003	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
GKEGNCBE_00004	CDS	1410				hypothetical protein
GKEGNCBE_00005	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
GKEGNCBE_00006	CDS	735	trmD_1	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
GKEGNCBE_00007	CDS	828	trmD_2	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
GKEGNCBE_00008	CDS	465				hypothetical protein
GKEGNCBE_00009	CDS	261				hypothetical protein
GKEGNCBE_00010	CDS	582				hypothetical protein
GKEGNCBE_00011	CDS	1308	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
