locus_tag	ftype	length_bp	gene	EC_number	COG	product
PFKCIMHH_00001	CDS	831	amiD_1	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
PFKCIMHH_00002	CDS	831	amiD_2	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
PFKCIMHH_00003	CDS	474	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
PFKCIMHH_00004	CDS	225	pspB			Phage shock protein B
PFKCIMHH_00005	CDS	1404				hypothetical protein
PFKCIMHH_00006	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
PFKCIMHH_00007	CDS	792	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
PFKCIMHH_00008	CDS	288				hypothetical protein
PFKCIMHH_00009	CDS	582				hypothetical protein
PFKCIMHH_00010	CDS	1308	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
PFKCIMHH_00011	CDS	255				hypothetical protein
PFKCIMHH_00012	CDS	780				IS21 family transposase ISSen3
